timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid
1713786077036,200,778,1.70947265625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077036,200,1680,3.69140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077036,200,1069,2.3488769531250002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,-1425,-3.131103515625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,-1409,-3.0959472656250006E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,-21,-4.614257812500001E-6,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,1644,3.6123046875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,683,1.500732421875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077037,200,-669,-1.469970703125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077038,200,-107,-2.35107421875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077038,200,1497,3.289306640625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077038,200,1576,3.462890625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077038,200,-642,-1.4106445312500002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077038,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077038,200,-1768,-3.884765625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,-622,-1.3666992187500002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,1337,2.937744140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,1345,2.955322265625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,-386,-8.481445312500001E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,-603,-1.3249511718750002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,1382,3.03662109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077039,200,1817,3.992431640625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077040,200,117,2.5708007812499998E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077040,200,-2045,-4.493408203125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077065,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077066,200,-1149,-2.5246582031250006E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077066,200,871,1.9138183593749998E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077069,200,1575,3.460693359375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077069,200,-90,-1.9775390625E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077070,200,-643,-1.412841796875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077070,200,641,1.408447265625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077070,200,1677,3.6848144531249997E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077070,200,706,1.55126953125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077070,200,-1795,-3.944091796875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077071,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077071,200,-1614,-3.5463867187500003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077071,200,312,6.85546875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077071,200,1619,3.557373046875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077071,200,507,1.1140136718750001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077071,200,-732,-1.6083984375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077072,200,264,5.80078125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077072,200,1798,3.95068359375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077072,200,1216,2.671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077072,200,-1093,-2.401611328125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077072,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077073,200,-1719,-3.7770996093750003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077073,200,-531,-1.1667480468750001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077073,200,1370,3.01025390625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077073,200,977,2.1467285156250002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077073,200,-476,-1.0458984375000001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077123,200,-229,-5.03173828125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077124,200,1255,2.757568359375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077124,200,1826,4.0122070312500005E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077125,200,11,2.4169921875E-6,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077125,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077125,200,-2025,-4.449462890625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077137,200,-1061,-2.331298828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077137,200,746,1.63916015625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077138,200,1595,3.504638671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
